volume,tp,st,td.balanceNow,closedPositions,positionsTotal
0.01, 0.0, 0.0, 999939.9283399999, 1999, 1
0.01, 0.0, 0.1, 999937.2010200006, 1987, 13
0.01, 0.0, 0.2, 999921.5937600004, 1976, 24
0.01, 0.0, 0.30000000000000004, 999968.5650699988, 1947, 53
0.01, 0.0, 0.4, 999966.0096600002, 1920, 80
0.01, 0.0, 0.5, 999933.3771799984, 1917, 83
0.01, 0.0, 0.6000000000000001, 999949.3919100007, 1870, 130
0.01, 0.0, 0.7000000000000001, 1000005.5967100001, 1856, 144
0.01, 0.0, 0.8, 999936.1461400012, 1855, 145
0.01, 0.0, 0.9, 1000005.4154599999, 1869, 131
0.01, 0.0, 1.0, 1000005.5858399987, 1860, 140
0.01, 0.1, 0.0, 999939.8651400006, 1999, 1
0.01, 0.1, 0.1, 999952.4324200014, 1933, 67
0.01, 0.1, 0.2, 999917.7001400003, 1950, 50
0.01, 0.1, 0.30000000000000004, 999918.2991799986, 1896, 104
0.01, 0.1, 0.4, 999961.5835699993, 1614, 386
0.01, 0.1, 0.5, 1000044.9014599994, 1526, 474
0.01, 0.1, 0.6000000000000001, 1000025.6439100002, 1442, 558
0.01, 0.1, 0.7000000000000001, 1000062.7046800002, 1671, 329
0.01, 0.1, 0.8, 1000150.97083, 1466, 534
0.01, 0.1, 0.9, 1000157.5505800009, 1530, 470
0.01, 0.1, 1.0, 1000122.8701199997, 1193, 807
0.01, 0.2, 0.0, 999939.8802299966, 1999, 1
0.01, 0.2, 0.1, 999915.668089998, 1950, 50
0.01, 0.2, 0.2, 999945.5471600003, 1932, 68
0.01, 0.2, 0.30000000000000004, 999952.52948, 1792, 208
0.01, 0.2, 0.4, 999925.5782799998, 1702, 298
0.01, 0.2, 0.5, 1000012.3618400003, 1357, 643
0.01, 0.2, 0.6000000000000001, 999867.4078300004, 1451, 549
0.01, 0.2, 0.7000000000000001, 999749.1806899989, 1509, 491
0.01, 0.2, 0.8, 1000157.2120199995, 834, 1166
0.01, 0.2, 0.9, 1000172.0553199997, 847, 1153
0.01, 0.2, 1.0, 1000152.5640899999, 751, 1249
0.01, 0.30000000000000004, 0.0, 999940.348179998, 1999, 1
0.01, 0.30000000000000004, 0.1, 999954.3343599997, 1868, 132
0.01, 0.30000000000000004, 0.2, 999921.8081600002, 1747, 253
0.01, 0.30000000000000004, 0.30000000000000004, 999905.9842499997, 1384, 616
0.01, 0.30000000000000004, 0.4, 999934.6456199994, 1425, 575
0.01, 0.30000000000000004, 0.5, 1000056.3371899995, 875, 1125
0.01, 0.30000000000000004, 0.6000000000000001, 1000142.8059200003, 516, 1484
0.01, 0.30000000000000004, 0.7000000000000001, 1000066.7354400004, 1545, 455
0.01, 0.30000000000000004, 0.8, 999976.5197900003, 985, 1015
0.01, 0.30000000000000004, 0.9, 1000165.1756200002, 800, 1200
0.01, 0.30000000000000004, 1.0, 1000184.4212999999, 609, 1391
0.01, 0.4, 0.0, 999939.6744400024, 1999, 1
0.01, 0.4, 0.1, 999969.598330001, 1826, 174
0.01, 0.4, 0.2, 999930.4620700004, 1486, 514
0.01, 0.4, 0.30000000000000004, 999804.1574899998, 886, 1114
0.01, 0.4, 0.4, 999979.3945099992, 1233, 767
0.01, 0.4, 0.5, 999977.1520700004, 1099, 901
0.01, 0.4, 0.6000000000000001, 1000064.26379, 407, 1593
0.01, 0.4, 0.7000000000000001, 1000037.6336700002, 884, 1116
0.01, 0.4, 0.8, 1000255.2050499999, 858, 1142
0.01, 0.4, 0.9, 1000155.4951400001, 386, 1614
0.01, 0.4, 1.0, 1000123.0914399994, 700, 1300
0.01, 0.5, 0.0, 999939.7166599999, 1999, 1
0.01, 0.5, 0.1, 999836.2745500001, 1744, 256
0.01, 0.5, 0.2, 999720.4249999996, 1381, 619
0.01, 0.5, 0.30000000000000004, 999970.9279499997, 1208, 792
0.01, 0.5, 0.4, 999887.7659700002, 463, 1537
0.01, 0.5, 0.5, 999969.8015900002, 352, 1648
0.01, 0.5, 0.6000000000000001, 999942.6108299997, 1038, 962
0.01, 0.5, 0.7000000000000001, 1000114.0941000007, 764, 1236
0.01, 0.5, 0.8, 1000008.05383, 16, 1984
0.01, 0.5, 0.9, 1000133.4273300001, 268, 1732
0.01, 0.5, 1.0, 1000170.4818599999, 339, 1661
0.01, 0.6000000000000001, 0.0, 999939.9283699978, 1999, 1
0.01, 0.6000000000000001, 0.1, 999888.9877600003, 1702, 298
0.01, 0.6000000000000001, 0.2, 1000009.4194199996, 1760, 240
